Ticker,Score,Months,Value,Values
MSFT,1.0783,71,1.53932,0.99566|1.00644|1.01972|1.03372|1.04827|1.06309|1.0778|1.09177|1.10527|1.11753|1.1315|1.14459|1.15694|1.17051|1.18463|1.20019|1.21627|1.23164|1.2478|1.26376|1.28157|1.29461|1.3084|1.32476|1.34028|1.35918|1.38032|1.40042|1.41978|1.43916|1.4589|1.47715|1.49541|1.51081|1.52531|1.53932
AAPL,1.5431,71,5.29117,1.01808|1.08295|1.1515|1.21882|1.28224|1.3501|1.42758|1.50956|1.58509|1.64629|1.70737|1.78313|1.87339|1.96208|2.04507|2.13474|2.24275|2.36495|2.48343|2.59098|2.66839|2.73093|2.84759|2.94577|3.00077|3.06534|3.20706|3.40219|3.61984|3.84984|4.08475|4.3227|4.56013|4.80781|5.067|5.29117
AMZN,1.4750999999999999,71,4.57516,1.00609|1.05279|1.1046|1.16378|1.22969|1.30063|1.37683|1.44944|1.51978|1.59291|1.67622|1.76147|1.84272|1.91681|1.99348|2.07987|2.16225|2.23967|2.32028|2.41258|2.50051|2.5918|2.69356|2.78887|2.88935|2.99906|3.1124|3.23441|3.3701|3.50576|3.66522|3.8252|3.99346|4.18013|4.3782|4.57516
FB,1.803,69,6.59784,1.01464|1.07211|1.13462|1.20432|1.28235|1.37331|1.47108|1.57261|1.66541|1.75557|1.84496|1.93966|2.04416|2.14374|2.25093|2.36688|2.50042|2.64101|2.7966|2.94708|3.10791|3.26647|3.45904|3.65678|3.87295|4.10011|4.36274|4.68069|5.00226|5.33419|5.6846|5.98707|6.19845|6.47674|6.59784|6.53695
GOOG,1.2063,71,2.55018,1.01111|1.05096|1.08725|1.12742|1.17205|1.20826|1.2464|1.28473|1.31078|1.34537|1.38025|1.41544|1.45607|1.49345|1.52422|1.56456|1.60634|1.63893|1.6804|1.7081|1.7253|1.7597|1.79536|1.82004|1.85734|1.90924|1.97755|2.04878|2.1183|2.18906|2.26007|2.32457|2.37461|2.42969|2.48406|2.55018
JNJ,1.0595,71,1.41753,0.99881|1.01142|1.02384|1.0352|1.04622|1.05673|1.06758|1.07983|1.09262|1.10433|1.11569|1.12627|1.13683|1.145|1.15397|1.16577|1.17717|1.18733|1.19869|1.20943|1.22092|1.23279|1.24676|1.26105|1.27524|1.28971|1.30401|1.31813|1.33268|1.34672|1.35929|1.37026|1.38181|1.39308|1.40555|1.41753
GOOGL,1.2096,71,2.5704,1.01105|1.05093|1.08724|1.12746|1.1721|1.20826|1.24626|1.28455|1.31069|1.34544|1.38065|1.41618|1.45724|1.49507|1.52627|1.56729|1.60966|1.64284|1.68517|1.71372|1.73172|1.76753|1.8048|1.83067|1.86898|1.92155|1.99053|2.0627|2.13325|2.20552|2.27742|2.34263|2.39333|2.44886|2.50365|2.5704
JPM,1.0655999999999999,71,1.44693,0.99477|1.00665|1.01771|1.03159|1.04382|1.05669|1.07017|1.08321|1.09657|1.10905|1.12226|1.13536|1.14928|1.16078|1.1699|1.17991|1.19159|1.20555|1.21886|1.23059|1.24454|1.25816|1.27412|1.29038|1.30575|1.31964|1.33381|1.34834|1.36022|1.37321|1.38833|1.40167|1.41528|1.42727|1.43772|1.44693
XOM,1.0622,71,1.40578,0.99544|1.0028|1.01047|1.01914|1.02726|1.03505|1.04335|1.05308|1.06209|1.07168|1.08208|1.09299|1.10428|1.11535|1.12745|1.14038|1.15464|1.16877|1.18296|1.19668|1.21143|1.22552|1.24002|1.25601|1.27045|1.28488|1.29968|1.31421|1.32869|1.34233|1.3547|1.36432|1.37516|1.38486|1.39484|1.40578
V,1.416,71,4.03037,1.00908|1.04284|1.08081|1.12385|1.17199|1.2221|1.27378|1.32404|1.37522|1.42711|1.47977|1.53363|1.59007|1.64972|1.71543|1.78767|1.86102|1.94197|2.02659|2.11397|2.20945|2.30466|2.40687|2.51338|2.61896|2.73266|2.8478|2.95698|3.07112|3.18849|3.31489|3.44864|3.58136|3.71976|3.87242|4.03037
